product_id,label,value,sort_order
UVC-G6-Pro-360-  ,Night Vision,25m (82ft) IR,1
UVC-G6-Pro-360-  ,Zoom,3x Optical,2
UVC-G6-Pro-360-  ,Audio,Two-way Audio,3
UVC-G6-180-B/W,Resolution,4K (8MP),0
UVC-G6-180-B/W,Night Vision,25m (82ft) IR,1
UVC-G6-180-B/W,Zoom,3x Optical,2
UVC-G6-180-B/W,Audio,Two-way Audio,3
UVC-G5-Turret-Ultra-B/W,Resolution,4K (8MP),0
UVC-G5-Turret-Ultra-B/W,Night Vision,25m (82ft) IR,1
UVC-G5-Turret-Ultra-B/W,Zoom,3x Optical,2
UVC-G5-Turret-Ultra-B/W,Audio,Two-way Audio,3
UVC-AI-Turret-B/W,Resolution,4K (8MP),0
UVC-AI-Turret-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-Turret-B/W,Zoom,3x Optical,2
UVC-AI-Turret-B/W,Audio,Two-way Audio,3
UVC-AI-Dome-B/W,Resolution,4K (8MP),0
UVC-AI-Dome-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-Dome-B/W,Zoom,3x Optical,2
UVC-AI-Dome-B/W,Audio,Two-way Audio,3
UVC-AI-360-B/W,Resolution,4K (8MP),0
UVC-AI-360-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-360-B/W,Zoom,3x Optical,2
UVC-AI-360-B/W,Audio,Two-way Audio,3
UVC-G5-Dome,Resolution,4K (8MP),0
UVC-G5-Dome,Night Vision,25m (82ft) IR,1
UVC-G5-Dome,Zoom,3x Optical,2
UVC-G5-Dome,Audio,Two-way Audio,3
UVC-G5-Dome-Ultra-B/W,Resolution,4K (8MP),0
UVC-G5-Dome-Ultra-B/W,Night Vision,25m (82ft) IR,1
UVC-G5-Dome-Ultra-B/W,Zoom,3x Optical,2
UVC-G5-Dome-Ultra-B/W,Audio,Two-way Audio,3
UVC-AI-MS-4-B/W,Resolution,4K (8MP),0
UVC-AI-MS-4-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-MS-4-B/W,Zoom,3x Optical,2
UVC-AI-MS-4-B/W,Audio,Two-way Audio,3
UVC-G6-Pro-Bullet-B/W,Resolution,4K (8MP),0
UVC-G6-Pro-Bullet-B/W,Night Vision,25m (82ft) IR,1
UVC-G6-Pro-Bullet-B/W,Zoom,3x Optical,2
UVC-G6-Pro-Bullet-B/W,Audio,Two-way Audio,3
UVC-G6-Bullet-B/W,Resolution,4K (8MP),0
UVC-G6-Bullet-B/W,Night Vision,25m (82ft) IR,1
UVC-G6-Bullet-B/W,Zoom,3x Optical,2
UVC-G6-Bullet-B/W,Audio,Two-way Audio,3
UVC-AI-LPR-B/W,Resolution,4K (8MP),0
UVC-AI-LPR-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-LPR-B/W,Zoom,3x Optical,2
UVC-AI-LPR-B/W,Audio,Two-way Audio,3
UVC-AI-DSLR-B/W,Resolution,4K (8MP),0
UVC-AI-DSLR-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-DSLR-B/W,Zoom,3x Optical,2
UVC-AI-DSLR-B/W,Audio,Two-way Audio,3
UVC-AI-Pro-B/W,Resolution,4K (8MP),0
UVC-AI-Pro-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-Pro-B/W,Zoom,3x Optical,2
UVC-AI-Pro-B/W,Audio,Two-way Audio,3
UVC-G5-Pro,Resolution,4K (8MP),0
UVC-G5-Pro,Night Vision,25m (82ft) IR,1
UVC-G5-Pro,Zoom,3x Optical,2
UVC-G5-Pro,Audio,Two-way Audio,3
UVC-G5-Bullet,Resolution,4K (8MP),0
UVC-G5-Bullet,Night Vision,25m (82ft) IR,1
UVC-G5-Bullet,Zoom,3x Optical,2
UVC-G5-Bullet,Audio,Two-way Audio,3
UVC-G6-INS-W,Resolution,4K (8MP),0
UVC-G6-INS-W,Night Vision,25m (82ft) IR,1
UVC-G6-INS-W,Zoom,3x Optical,2
UVC-G6-INS-W,Audio,Two-way Audio,3
UVC-AI-Theta-Pro-W,Resolution,4K (8MP),0
UVC-AI-Theta-Pro-W,Night Vision,25m (82ft) IR,1
UVC-AI-Theta-Pro-W,Zoom,3x Optical,2
UVC-AI-Theta-Pro-W,Audio,Two-way Audio,3
UVC-G5-Flex,Resolution,4K (8MP),0
UVC-G5-Flex,Night Vision,25m (82ft) IR,1
UVC-G5-Flex,Zoom,3x Optical,2
UVC-G5-Flex,Audio,Two-way Audio,3
UVC-G4-INS,Resolution,4K (8MP),0
UVC-G4-INS,Night Vision,25m (82ft) IR,1
UVC-G4-INS,Zoom,3x Optical,2
UVC-G4-INS,Audio,Two-way Audio,3
UVC-AI-Theta-Audio,Resolution,4K (8MP),0
UVC-AI-Theta-Audio,Night Vision,25m (82ft) IR,1
UVC-AI-Theta-Audio,Zoom,3x Optical,2
UVC-AI-Theta-Audio,Audio,Two-way Audio,3
UVC-AI-Theta-ProLens50,Resolution,4K (8MP),0
UVC-AI-Theta-ProLens50,Night Vision,25m (82ft) IR,1
UVC-AI-Theta-ProLens50,Zoom,3x Optical,2
UVC-AI-Theta-ProLens50,Audio,Two-way Audio,3
UVC-G6-PTZ-B/W,Resolution,4K (8MP),0
UVC-G6-PTZ-B/W,Night Vision,25m (82ft) IR,1
UVC-G6-PTZ-B/W,Zoom,3x Optical,2
UVC-G6-PTZ-B/W,Audio,Two-way Audio,3
UVC-AI-PTZ-B/W,Resolution,4K (8MP),0
UVC-AI-PTZ-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-PTZ-B/W,Zoom,3x Optical,2
UVC-AI-PTZ-B/W,Audio,Two-way Audio,3
UVC-AI-PTZ-Precision-B/W,Resolution,4K (8MP),0
UVC-AI-PTZ-Precision-B/W,Night Vision,25m (82ft) IR,1
UVC-AI-PTZ-Precision-B/W,Zoom,3x Optical,2
UVC-AI-PTZ-Precision-B/W,Audio,Two-way Audio,3
UVC-G5-PTZ-B/W,Resolution,4K (8MP),0
UVC-G5-PTZ-B/W,Night Vision,25m (82ft) IR,1
UVC-G5-PTZ-B/W,Zoom,3x Optical,2
UVC-G5-PTZ-B/W,Audio,Two-way Audio,3
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Resolution,4K (8MP),0
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Night Vision,25m (82ft) IR,1
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Zoom,3x Optical,2
UVC-4-Doorbell-Pro-PoE-Kit-B/W,Audio,Two-way Audio,3
UVC-4-Doorbell-Pro-B/W,Resolution,4K (8MP),0
UVC-4-Doorbell-Pro-B/W,Night Vision,25m (82ft) IR,1
UVC-4-Doorbell-Pro-B/W,Zoom,3x Optical,2
UVC-4-Doorbell-Pro-B/W,Audio,Two-way Audio,3
UVC-Doorbell-B/W,Resolution,4K (8MP),0
UVC-Doorbell-B/W,Night Vision,25m (82ft) IR,1
UVC-Doorbell-B/W,Zoom,3x Optical,2
UVC-Doorbell-B/W,Audio,Two-way Audio,3
UVC-Chime-PoE,Resolution,4K (8MP),0
UVC-Chime-PoE,Night Vision,25m (82ft) IR,1
UVC-Chime-PoE,Zoom,3x Optical,2
UVC-Chime-PoE,Audio,Two-way Audio,3
UVC-Chime,Resolution,4K (8MP),0
UVC-Chime,Night Vision,25m (82ft) IR,1
UVC-Chime,Zoom,3x Optical,2
UVC-Chime,Audio,Two-way Audio,3
USL-Gateway,Resolution,4K (8MP),0
USL-Gateway,Night Vision,25m (82ft) IR,1
USL-Gateway,Zoom,3x Optical,2
USL-Gateway,Audio,Two-way Audio,3
USL-Entry,Resolution,4K (8MP),0
USL-Entry,Night Vision,25m (82ft) IR,1
USL-Entry,Zoom,3x Optical,2
USL-Entry,Audio,Two-way Audio,3
USL-Motion,Resolution,4K (8MP),0
USL-Motion,Night Vision,25m (82ft) IR,1
USL-Motion,Zoom,3x Optical,2
USL-Motion,Audio,Two-way Audio,3
USL-Siren,Resolution,4K (8MP),0
USL-Siren,Night Vision,25m (82ft) IR,1
USL-Siren,Zoom,3x Optical,2
USL-Siren,Audio,Two-way Audio,3
USL-Siren-PoE,Resolution,4K (8MP),0
USL-Siren-PoE,Night Vision,25m (82ft) IR,1
USL-Siren-PoE,Zoom,3x Optical,2
USL-Siren-PoE,Audio,Two-way Audio,3
USL-Environmental,Resolution,4K (8MP),0
USL-Environmental,Night Vision,25m (82ft) IR,1
USL-Environmental,Zoom,3x Optical,2
USL-Environmental,Audio,Two-way Audio,3
UP-Sense,Resolution,4K (8MP),0
UP-Sense,Night Vision,25m (82ft) IR,1
UP-Sense,Zoom,3x Optical,2
UP-Sense,Audio,Two-way Audio,3
USL-GlassBreak,Resolution,4K (8MP),0
USL-GlassBreak,Night Vision,25m (82ft) IR,1
USL-GlassBreak,Zoom,3x Optical,2
USL-GlassBreak,Audio,Two-way Audio,3
UACC-USL-ANT-HG,Resolution,4K (8MP),0
UACC-USL-ANT-HG,Night Vision,25m (82ft) IR,1
UACC-USL-ANT-HG,Zoom,3x Optical,2
UACC-USL-ANT-HG,Audio,Two-way Audio,3
UP-AI-Horn-Speaker-B/W,Resolution,4K (8MP),0
UP-AI-Horn-Speaker-B/W,Night Vision,25m (82ft) IR,1
UP-AI-Horn-Speaker-B/W,Zoom,3x Optical,2
UP-AI-Horn-Speaker-B/W,Audio,Two-way Audio,3
UP-FloodLight,Resolution,4K (8MP),0
UP-FloodLight,Night Vision,25m (82ft) IR,1
UP-FloodLight,Zoom,3x Optical,2
UP-FloodLight,Audio,Two-way Audio,3
UACC-Adapter-PoE-USBC,Resolution,4K (8MP),0
UACC-Adapter-PoE-USBC,Night Vision,25m (82ft) IR,1
UACC-Adapter-PoE-USBC,Zoom,3x Optical,2
UACC-Adapter-PoE-USBC,Audio,Two-way Audio,3
UACC-Camera-CJB-B/W,Resolution,4K (8MP),0
UACC-Camera-CJB-B/W,Night Vision,25m (82ft) IR,1
UACC-Camera-CJB-B/W,Zoom,3x Optical,2
UACC-Camera-CJB-B/W,Audio,Two-way Audio,3
UACC-Camera-CJB-B/W,Resolution,4K (8MP),0
UACC-Camera-CJB-B/W,Night Vision,25m (82ft) IR,1
UACC-Camera-CJB-B/W,Zoom,3x Optical,2
UACC-Camera-CJB-B/W,Audio,Two-way Audio,3
UACC-Camera-JB-B/W,Resolution,4K (8MP),0
UACC-Camera-JB-B/W,Night Vision,25m (82ft) IR,1
UACC-Camera-JB-B/W,Zoom,3x Optical,2
UACC-Camera-JB-B/W,Audio,Two-way Audio,3
UACC-AI-JB-B/W,Resolution,4K (8MP),0
UACC-AI-JB-B/W,Night Vision,25m (82ft) IR,1
UACC-AI-JB-B/W,Zoom,3x Optical,2
UACC-AI-JB-B/W,Audio,Two-way Audio,3
UACC-G4-Dome-Arm-Mount,Resolution,4K (8MP),0
UACC-G4-Dome-Arm-Mount,Night Vision,25m (82ft) IR,1
UACC-G4-Dome-Arm-Mount,Zoom,3x Optical,2
UACC-G4-Dome-Arm-Mount,Audio,Two-way Audio,3
UACC-Camera-AM-B,Resolution,4K (8MP),0
UACC-Camera-AM-B,Night Vision,25m (82ft) IR,1
UACC-Camera-AM-B,Zoom,3x Optical,2
UACC-Camera-AM-B,Audio,Two-way Audio,3
UACC-Bullet-AB-B,Resolution,4K (8MP),0
UACC-Bullet-AB-B,Night Vision,25m (82ft) IR,1
UACC-Bullet-AB-B,Zoom,3x Optical,2
UACC-Bullet-AB-B,Audio,Two-way Audio,3
UACC-Pro-Bullet-Enhancer-B/W,Resolution,4K (8MP),0
UACC-Pro-Bullet-Enhancer-B/W,Night Vision,25m (82ft) IR,1
UACC-Pro-Bullet-Enhancer-B/W,Zoom,3x Optical,2
UACC-Pro-Bullet-Enhancer-B/W,Audio,Two-way Audio,3
UACC-AI-Pro-Enhancer-B/W,Resolution,4K (8MP),0
UACC-AI-Pro-Enhancer-B/W,Night Vision,25m (82ft) IR,1
UACC-AI-Pro-Enhancer-B/W,Zoom,3x Optical,2
UACC-AI-Pro-Enhancer-B/W,Audio,Two-way Audio,3
UACC-G5-Enhancer,Resolution,4K (8MP),0
UACC-G5-Enhancer,Night Vision,25m (82ft) IR,1
UACC-G5-Enhancer,Zoom,3x Optical,2
UACC-G5-Enhancer,Audio,Two-way Audio,3
UVC-G4-IRExtender,Resolution,4K (8MP),0
UVC-G4-IRExtender,Night Vision,25m (82ft) IR,1
UVC-G4-IRExtender,Zoom,3x Optical,2
UVC-G4-IRExtender,Audio,Two-way Audio,3
UACC-Camera-DM-B/W,Resolution,4K (8MP),0
UACC-Camera-DM-B/W,Night Vision,25m (82ft) IR,1
UACC-Camera-DM-B/W,Zoom,3x Optical,2
UACC-Camera-DM-B/W,Audio,Two-way Audio,3
UACC-GB-Plate-B/W,Resolution,4K (8MP),0
UACC-GB-Plate-B/W,Night Vision,25m (82ft) IR,1
UACC-GB-Plate-B/W,Zoom,3x Optical,2
UACC-GB-Plate-B/W,Audio,Two-way Audio,3
UACC-Dome-FM-B/W,Resolution,4K (8MP),0
UACC-Dome-FM-B/W,Night Vision,25m (82ft) IR,1
UACC-Dome-FM-B/W,Zoom,3x Optical,2
UACC-Dome-FM-B/W,Audio,Two-way Audio,3
UACC-G6-Pro-360-FM-B/W,Resolution,4K (8MP),0
UACC-G6-Pro-360-FM-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-Pro-360-FM-B/W,Zoom,3x Optical,2
UACC-G6-Pro-360-FM-B/W,Audio,Two-way Audio,3
UACC-G6-Dome-FM-B/W,Resolution,4K (8MP),0
UACC-G6-Dome-FM-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-Dome-FM-B/W,Zoom,3x Optical,2
UACC-G6-Dome-FM-B/W,Audio,Two-way Audio,3
UACC-G6-Dome-FMS-B/W,Resolution,4K (8MP),0
UACC-G6-Dome-FMS-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-Dome-FMS-B/W,Zoom,3x Optical,2
UACC-G6-Dome-FMS-B/W,Audio,Two-way Audio,3
UACC-G5-Dome-Ultra-FM-B/W,Resolution,4K (8MP),0
UACC-G5-Dome-Ultra-FM-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-Dome-Ultra-FM-B/W,Zoom,3x Optical,2
UACC-G5-Dome-Ultra-FM-B/W,Audio,Two-way Audio,3
UACC-G5-Dome-Ultra-FM-SB-B/W,Resolution,4K (8MP),0
UACC-G5-Dome-Ultra-FM-SB-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-Dome-Ultra-FM-SB-B/W,Zoom,3x Optical,2
UACC-G5-Dome-Ultra-FM-SB-B/W,Audio,Two-way Audio,3
UACC-G6-Dome-WS-B/W,Resolution,4K (8MP),0
UACC-G6-Dome-WS-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-Dome-WS-B/W,Zoom,3x Optical,2
UACC-G6-Dome-WS-B/W,Audio,Two-way Audio,3
UACC-Dome-WS-B/W,Resolution,4K (8MP),0
UACC-Dome-WS-B/W,Night Vision,25m (82ft) IR,1
UACC-Dome-WS-B/W,Zoom,3x Optical,2
UACC-Dome-WS-B/W,Audio,Two-way Audio,3
UACC-G6-180-FM-B/W,Resolution,4K (8MP),0
UACC-G6-180-FM-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-180-FM-B/W,Zoom,3x Optical,2
UACC-G6-180-FM-B/W,Audio,Two-way Audio,3
UACC-G6-180-PM-B/W,Resolution,4K (8MP),0
UACC-G6-180-PM-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-180-PM-B/W,Zoom,3x Optical,2
UACC-G6-180-PM-B/W,Audio,Two-way Audio,3
UACC-G5-PTZ-CM-B/W,Resolution,4K (8MP),0
UACC-G5-PTZ-CM-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-PTZ-CM-B/W,Zoom,3x Optical,2
UACC-G5-PTZ-CM-B/W,Audio,Two-way Audio,3
UACC-G5-PTZ-PM-B/W,Resolution,4K (8MP),0
UACC-G5-PTZ-PM-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-PTZ-PM-B/W,Zoom,3x Optical,2
UACC-G5-PTZ-PM-B/W,Audio,Two-way Audio,3
UACC-G5-PTZ-SM-B/W,Resolution,4K (8MP),0
UACC-G5-PTZ-SM-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-PTZ-SM-B/W,Zoom,3x Optical,2
UACC-G5-PTZ-SM-B/W,Audio,Two-way Audio,3
UACC-G5-PTZ-ICM-SB-B/W,Resolution,4K (8MP),0
UACC-G5-PTZ-ICM-SB-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-PTZ-ICM-SB-B/W,Zoom,3x Optical,2
UACC-G5-PTZ-ICM-SB-B/W,Audio,Two-way Audio,3
UACC-G6-PTZ-ICM-B/W,Resolution,4K (8MP),0
UACC-G6-PTZ-ICM-B/W,Night Vision,25m (82ft) IR,1
UACC-G6-PTZ-ICM-B/W,Zoom,3x Optical,2
UACC-G6-PTZ-ICM-B/W,Audio,Two-way Audio,3
UACC-G5-PTZ-CA-B/W,Resolution,4K (8MP),0
UACC-G5-PTZ-CA-B/W,Night Vision,25m (82ft) IR,1
UACC-G5-PTZ-CA-B/W,Zoom,3x Optical,2
UACC-G5-PTZ-CA-B/W,Audio,Two-way Audio,3
UACC-Flex-Cam-PWM-B/W,Resolution,4K (8MP),0
UACC-Flex-Cam-PWM-B/W,Night Vision,25m (82ft) IR,1
UACC-Flex-Cam-PWM-B/W,Zoom,3x Optical,2
UACC-Flex-Cam-PWM-B/W,Audio,Two-way Audio,3
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Resolution,4K (8MP),0
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Night Vision,25m (82ft) IR,1
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Zoom,3x Optical,2
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,Audio,Two-way Audio,3
UACC-G4-DBP-Cable-USB-7M,Resolution,4K (8MP),0
UACC-G4-DBP-Cable-USB-7M,Night Vision,25m (82ft) IR,1
UACC-G4-DBP-Cable-USB-7M,Zoom,3x Optical,2
UACC-G4-DBP-Cable-USB-7M,Audio,Two-way Audio,3
UACC-G4-INS-Cable-USB-4.5M,Resolution,4K (8MP),0
UACC-G4-INS-Cable-USB-4.5M,Night Vision,25m (82ft) IR,1
UACC-G4-INS-Cable-USB-4.5M,Zoom,3x Optical,2
UACC-G4-INS-Cable-USB-4.5M,Audio,Two-way Audio,3
UACC-G4-INS-Cover-DG/G/LG,Resolution,4K (8MP),0
UACC-G4-INS-Cover-DG/G/LG,Night Vision,25m (82ft) IR,1
UACC-G4-INS-Cover-DG/G/LG,Zoom,3x Optical,2
UACC-G4-INS-Cover-DG/G/LG,Audio,Two-way Audio,3
UACC-AI-Theta-Audio-Cable-1M,Resolution,4K (8MP),0
UACC-AI-Theta-Audio-Cable-1M,Night Vision,25m (82ft) IR,1
UACC-AI-Theta-Audio-Cable-1M,Zoom,3x Optical,2
UACC-AI-Theta-Audio-Cable-1M,Audio,Two-way Audio,3
UACC-AI-Theta-Audio-Cable-Ext-10M,Resolution,4K (8MP),0
UACC-AI-Theta-Audio-Cable-Ext-10M,Night Vision,25m (82ft) IR,1
UACC-AI-Theta-Audio-Cable-Ext-10M,Zoom,3x Optical,2
UACC-AI-Theta-Audio-Cable-Ext-10M,Audio,Two-way Audio,3
efg,Throughput,10 Gbps IPS,0
efg,Ports,"8x GbE RJ45, 1x 10G SFP+",1
efg,Storage,"2x 3.5"" HDD Bays",2
efg,Processor,Quad-Core ARM Cortex-A57,3
udm-pro-max,Throughput,10 Gbps IPS,0
udm-pro-max,Ports,"8x GbE RJ45, 1x 10G SFP+",1
udm-pro-max,Storage,"2x 3.5"" HDD Bays",2
udm-pro-max,Processor,Quad-Core ARM Cortex-A57,3
udm-pro,Throughput,3.5 Gbps IPS,0
udm-pro,PoE,"2x PoE+, 6x PoE",1
udm-pro,WAN,2.5 GbE RJ45,2
udm-pro,Storage,128GB SSD Integrated,3
udm-se,Throughput,3.5 Gbps IPS,0
udm-se,PoE,"2x PoE+, 6x PoE",1
udm-se,WAN,2.5 GbE RJ45,2
udm-se,Storage,128GB SSD Integrated,3
ucg-fiber,Throughput,3.5 Gbps IPS,0
ucg-fiber,PoE,"2x PoE+, 6x PoE",1
ucg-fiber,WAN,2.5 GbE RJ45,2
ucg-fiber,Storage,128GB SSD Integrated,3
ucg-max,Throughput,3.5 Gbps IPS,0
ucg-max,PoE,"2x PoE+, 6x PoE",1
ucg-max,WAN,2.5 GbE RJ45,2
ucg-max,Storage,128GB SSD Integrated,3
ucg-ultra,Throughput,3.5 Gbps IPS,0
ucg-ultra,PoE,"2x PoE+, 6x PoE",1
ucg-ultra,WAN,2.5 GbE RJ45,2
ucg-ultra,Storage,128GB SSD Integrated,3
udr-7,Throughput,3.5 Gbps IPS,0
udr-7,PoE,"2x PoE+, 6x PoE",1
udr-7,WAN,2.5 GbE RJ45,2
udr-7,Storage,128GB SSD Integrated,3
ux-7,Throughput,3.5 Gbps IPS,0
ux-7,PoE,"2x PoE+, 6x PoE",1
ux-7,WAN,2.5 GbE RJ45,2
ux-7,Storage,128GB SSD Integrated,3
udr-5g-max,Throughput,3.5 Gbps IPS,0
udr-5g-max,PoE,"2x PoE+, 6x PoE",1
udr-5g-max,WAN,2.5 GbE RJ45,2
udr-5g-max,Storage,128GB SSD Integrated,3
UDW,Throughput,3.5 Gbps IPS,0
UDW,PoE,"2x PoE+, 6x PoE",1
UDW,WAN,2.5 GbE RJ45,2
UDW,Storage,128GB SSD Integrated,3
UVC-G6-Pro-Entry,Resolution,4K (8MP),0
UVC-G6-Pro-Entry,Night Vision,25m (82ft) IR,1
UVC-G6-Pro-Entry,Zoom,3x Optical,2
UVC-G6-Pro-Entry,Audio,Two-way Audio,3
UVC-G6-Entry,Resolution,4K (8MP),0
UVC-G6-Entry,Night Vision,25m (82ft) IR,1
UVC-G6-Entry,Zoom,3x Optical,2
UVC-G6-Entry,Audio,Two-way Audio,3
UA-G3-Pro-B/W,Resolution,4K (8MP),0
UA-G3-Pro-B/W,Night Vision,25m (82ft) IR,1
UA-G3-Pro-B/W,Zoom,3x Optical,2
UA-G3-Pro-B/W,Audio,Two-way Audio,3
UA-G2-Pro-B/W,Resolution,4K (8MP),0
UA-G2-Pro-B/W,Night Vision,25m (82ft) IR,1
UA-G2-Pro-B/W,Zoom,3x Optical,2
UA-G2-Pro-B/W,Audio,Two-way Audio,3
UA-G3-Flex-B/W,Resolution,4K (8MP),0
UA-G3-Flex-B/W,Night Vision,25m (82ft) IR,1
UA-G3-Flex-B/W,Zoom,3x Optical,2
UA-G3-Flex-B/W,Audio,Two-way Audio,3
UA-G3-B/W,Resolution,4K (8MP),0
UA-G3-B/W,Night Vision,25m (82ft) IR,1
UA-G3-B/W,Zoom,3x Optical,2
UA-G3-B/W,Audio,Two-way Audio,3
UA-G2-B/W,Resolution,4K (8MP),0
UA-G2-B/W,Night Vision,25m (82ft) IR,1
UA-G2-B/W,Zoom,3x Optical,2
UA-G2-B/W,Audio,Two-way Audio,3
UA-Retrofit-Reader-B/W,Resolution,4K (8MP),0
UA-Retrofit-Reader-B/W,Night Vision,25m (82ft) IR,1
UA-Retrofit-Reader-B/W,Zoom,3x Optical,2
UA-Retrofit-Reader-B/W,Audio,Two-way Audio,3
UA-G3-Intercom,Resolution,4K (8MP),0
UA-G3-Intercom,Night Vision,25m (82ft) IR,1
UA-G3-Intercom,Zoom,3x Optical,2
UA-G3-Intercom,Audio,Two-way Audio,3
UA-G2-Intercom,Resolution,4K (8MP),0
UA-G2-Intercom,Night Vision,25m (82ft) IR,1
UA-G2-Intercom,Zoom,3x Optical,2
UA-G2-Intercom,Audio,Two-way Audio,3
UA-Ultra,Resolution,4K (8MP),0
UA-Ultra,Night Vision,25m (82ft) IR,1
UA-Ultra,Zoom,3x Optical,2
UA-Ultra,Audio,Two-way Audio,3
UA-G3-Intercom,Resolution,4K (8MP),0
UA-G3-Intercom,Night Vision,25m (82ft) IR,1
UA-G3-Intercom,Zoom,3x Optical,2
UA-G3-Intercom,Audio,Two-way Audio,3
UA-G2-Intercom,Resolution,4K (8MP),0
UA-G2-Intercom,Night Vision,25m (82ft) IR,1
UA-G2-Intercom,Zoom,3x Optical,2
